id,name,cited,minYear,maxYear,numWorks,startYear,endYear
n621,"Castellani, Maria Aparecida",0,2010,2010,2,2008,2011
n622,"Moreira, Aldenise Alves",0,2010,2010,2,2008,2011
n217,"Ramos, Vania M.",1,2008,2009,2,2008,2011
n589,"Protti De Andrade, Ana Paula",1,2010,2010,3,2008,2011
n683,"Maynard, Janielle",1,2011,2011,2,2008,2011
n684,"Roland, Damien L.",1,2011,2011,2,2008,2011
n712,"Zhang, G",1,2011,2011,2,2008,2011
n713,"Schitt, M",1,2011,2011,2,2008,2011
n714,"Li, C",1,2011,2011,2,2008,2011
n716,"Hu, H",1,2011,2011,2,2008,2011
n717,"Zhou, J",1,2011,2011,2,2008,2011
n718,"Ji, L",1,2011,2011,2,2008,2011
n719,"Qiu, F",1,2011,2011,2,2008,2011
n721,"Pan, H",1,2011,2011,2,2008,2011
n725,"Wang, J",1,2011,2011,2,2008,2011
n726,"Ramos Ribeiro, Myriam Marques",1,2011,2011,2,2008,2011
n728,"Ribeiro, Laila Fieto",1,2011,2011,2,2008,2011
n184,"Machado-santelli, Glaucia Maria",2,2008,2008,2,2008,2011
n185,"Bussador Do Amaral, Jonatas",2,2008,2008,2,2008,2011
n199,"Brugger, Mariana Silva",2,2008,2011,3,2008,2011
n216,"Camargo, Roberto Da Silva",2,2008,2011,4,2008,2011
n393,"Barbieri, Rafael Forti",2,2009,2011,3,2008,2011
n665,"Paola Perez, Silvia",2,2011,2011,2,2008,2011
n666,"Carlos Corley, Juan",2,2011,2011,2,2008,2011
n196,"Peternelli, Ethel F. O.",3,2008,2009,2,2008,2011
n559,"Pikart, Tiago Georg",3,2010,2010,2,2008,2011
n560,"Souza, Gabriely Koeerich",3,2010,2010,2,2008,2011
n588,"Caldato, Nadia",3,2010,2011,4,2008,2011
n598,"Tofolo, Viviane Cristina",3,2010,2011,2,2008,2011
n599,"Giannotti, Edilberto",3,2010,2011,2,2008,2011
n605,"Shalaby, Emad A.",3,2010,2011,2,2008,2011
n606,"Shanan, Nermeen T.",3,2010,2011,2,2008,2011
n163,"Guedes, R. N. C.",5,2008,2011,2,2008,2011
n176,"Picanco, M. C.",5,2008,2011,2,2008,2011
n178,"Moreira, M. D.",5,2008,2011,2,2008,2011
n350,"Armbrecht, Inge",5,2009,2009,2,2008,2011
n351,"Lozano-zambrano, Fabio H",5,2009,2009,2,2008,2011
n352,"Ulloa-chacon, Patricia",5,2009,2009,2,2008,2011
n361,"Leite Ribeiro, Fernando",5,2009,2009,2,2008,2011
n362,"Frazao Helene, Andre",5,2009,2009,2,2008,2011
n363,"Xavier, Gilberto",5,2009,2009,2,2008,2011
n370,"Errard, Christine",5,2009,2009,2,2008,2011
n371,"Richard, Freddie-jeanne",5,2009,2009,2,2008,2011
n219,"Noronha, Newton C.",6,2008,2011,3,2008,2011
n354,"Moreira, Sinara Maria",6,2009,2011,3,2008,2011
n644,"Rodella, Roberto A.",6,2011,2011,2,2008,2011
n353,"Carlos, Amanda A.",7,2009,2011,4,2008,2011
n364,"Diniz, Eduardo Arrivabene",7,2009,2010,3,2008,2011
n388,"Peternelli, Luiz A.",7,2009,2010,2,2008,2011
n401,"Meyer, J. F. C. A.",7,2009,2011,2,2008,2011
n137,"Castro Della Lucia, Terezinha Maria",8,2008,2011,4,2008,2011
n153,"Reis, Marcelo De Almeida",8,2008,2010,2,2008,2011
n154,"Soares Scolforo, Jose Roberto",8,2008,2010,2,2008,2011
n155,"Ferreira, Maria Zelia",8,2008,2010,2,2008,2011
n161,"Ribeiro, M. M. R.",9,2008,2011,3,2008,2011
n174,"Santos Lopes, Juliane Floriano",9,2008,2011,6,2008,2011
n179,"Navas, Carlos A.",9,2008,2009,4,2008,2011
n540,"Lacerda, Fabricia G.",9,2010,2010,2,2008,2011
n385,"Mailleux, Anne-catherine",10,2009,2011,2,2008,2011
n337,"Polanczyk, Ricardo Antonio",11,2009,2010,3,2008,2011
n355,"Verza, Sandra S.",11,2009,2011,5,2008,2011
n389,"Federle, Walter",11,2009,2010,2,2008,2011
n390,"Moll, Karin",11,2009,2010,2,2008,2011
n116,"Sousa-souto, Leandro",13,2008,2010,3,2008,2011
n117,"Schoereder, Jose H.",13,2008,2008,3,2008,2011
n781,"Holman, Luke",13,2011,2011,2,2008,2011
n782,"Sturup, Marlene",13,2011,2011,2,2008,2011
n183,"Lopes, Juliane F. S.",14,2008,2011,4,2008,2011
n303,"Cazal, Cristiane De Melo",14,2009,2009,3,2008,2011
n304,"Domingues, Vanessa De Cassia",14,2009,2009,3,2008,2011
n305,"Batalhao, Jaqueline Raquel",14,2009,2009,3,2008,2011
n306,"Filho, Edson Rodrigues",14,2009,2009,3,2008,2011
n307,"Fernandes Da Silva, Maria Fatima G.",14,2009,2009,3,2008,2011
n211,"Serrao, Jose E.",15,2008,2010,5,2008,2011
n484,"Terezan, Ana Paula",17,2010,2011,2,2008,2011
n487,"Freitas, Tais Garcia",17,2010,2011,2,2008,2011
n507,"Camargo-mathias, Maria Izabel",17,2010,2011,2,2008,2011
n508,"Vieira, Alexsandro Santana",17,2010,2011,2,2008,2011
n708,"Moller, Isabel E",17,2011,2011,7,2008,2011
n709,"Willats, William Gt",17,2011,2011,7,2008,2011
n710,"Harholt, Jesper",17,2011,2011,7,2008,2011
n129,"Disney, R. Henry L.",19,2008,2009,2,2008,2011
n139,"Bailez, O.",19,2008,2010,3,2008,2011
n140,"Viana-bailez, A. M.",19,2008,2010,3,2008,2011
n280,"Mendonca, Adriana De Lima",20,2009,2009,2,2008,2011
n281,"Torres De Mesquita, Fernando Lucas",20,2009,2009,2,2008,2011
n282,"Campos, Rousseau Da Silva",20,2009,2009,2,2008,2011
n283,"Pessoa De Azevedo Ximenes, Eulalia Camelo",20,2009,2009,2,2008,2011
n394,"Fujihara, Ricardo T.",21,2009,2011,4,2008,2011
n680,"Consoli, Fernando L.",21,2011,2011,2,2008,2011
n681,"Zucchi, Tiago Domingues",21,2011,2011,2,2008,2011
n110,"Feldhaar, H.",22,2008,2008,2,2008,2011
n458,"Budsberg, Kevin J",22,2010,2010,4,2008,2011
n459,"Wixon, Devin L",22,2010,2010,4,2008,2011
n460,"Balser, Teri C",22,2010,2010,4,2008,2011
n94,"Ribeiro, Pedro Leite",23,2008,2009,5,2008,2011
n181,"Camargo, Roberto S.",23,2008,2011,6,2008,2011
n312,"Bieber, Ana Gabriela D.",23,2009,2011,2,2008,2011
n464,"Chinchilla, Federico",23,2010,2011,2,2008,2011
n164,"Santana, Antonio Euzebio G.",25,2008,2009,3,2008,2011
n167,"Do Nascimento, Ruth R.",25,2008,2009,3,2008,2011
n172,"Da Silva, Carlos Eduardo",25,2008,2009,3,2008,2011
n297,"Hughes, David P.",25,2009,2011,2,2008,2011
n85,"Tschinkel, Walter R.",26,2008,2010,2,2008,2011
n121,"Zanuncio, Jose Cola",29,2008,2010,7,2008,2011
n160,"Della Lucia, Terezinha M. C.",30,2008,2011,8,2008,2011
n450,"Saverschek, N.",30,2010,2011,2,2008,2011
n293,"Beshers, Samuel",31,2009,2009,2,2008,2011
n302,"Fernandes, Joao Batista",31,2009,2011,5,2008,2011
