id,name,cited,minYear,maxYear,numWorks,startYear,endYear
n143,"Beyschlag, Wolfram",0,2001,2003,3,2000,2003
n285,"Hoelldobler, Bert",0,2003,2003,2,2000,2003
n286,"Wirth, Rainer",0,2003,2003,2,2000,2003
n287,"Herz, Hubert",0,2003,2003,2,2000,2003
n288,"Ryel, Ronald J.",0,2003,2003,2,2000,2003
n57,"Yospin, Mm",5,2001,2002,2,2000,2003
n58,"Wetterer, Jk",5,2001,2003,3,2000,2003
n59,"Himler, Ag",5,2001,2002,2,2000,2003
n231,"Kitayama, Kiniti",6,2002,2002,2,2000,2003
n232,"Gramacho, Mg",6,2002,2002,2,2000,2003
n144,"Cavalli-molina, S",11,2001,2002,2,2000,2003
n145,"De Araujo, A. M.",11,2001,2002,2,2000,2003
n267,"Verza, Ss",17,2003,2003,2,2000,2003
n259,"Souza-silva, Alan",19,2003,2003,2,2000,2003
n61,"Diehl, E.",23,2001,2003,4,2000,2003
n208,"Ramos, Vania M.",23,2002,2003,2,2000,2003
n201,"Middelhoven, Wj",24,2002,2003,2,2000,2003
n202,"Carreiro, Sc",24,2002,2003,2,2000,2003
n147,"Rodrigues, E",30,2001,2002,2,2000,2003
n262,"Camargo, Roberto S.",37,2003,2003,5,2000,2003
n263,"Lopes, Juliane F. S.",37,2003,2003,5,2000,2003
n204,"Andrade, App",41,2002,2003,5,2000,2003
n247,"Zanetti, Ronald",41,2003,2003,3,2000,2003
n248,"Zanuncio, Jose Cola",41,2003,2003,3,2000,2003
n203,"De Matos, Cao",44,2002,2003,5,2000,2003
n27,"Da Silva, Oa",48,2000,2000,2,2000,2003
n30,"Maroti, Ps",48,2000,2000,2,2000,2003
n33,"Erthal, M",49,2000,2001,3,2000,2003
n122,"Vilela, Ef",55,2001,2003,3,2000,2003
n205,"Forti, Luiz C.",55,2002,2003,7,2000,2003
n9,"Morgan, Ed",63,2000,2003,2,2000,2003
n99,"Wenseleers, T",66,2001,2003,2,2000,2003
n100,"Billen, J",66,2001,2003,2,2000,2003
n36,"Braganca, Mal",67,2000,2003,6,2000,2003
n126,"Da Silva, Maria Fatima Das Gracas Fernandes",69,2001,2002,4,2000,2003
n127,"Victor, Sr",69,2001,2002,4,2000,2003
n130,"Fernandes, Joao Batista",69,2001,2002,4,2000,2003
n132,"Vieira, Paulo Cezar",69,2001,2002,4,2000,2003
n47,"Howse, Pe",77,2000,2002,4,2000,2003
n175,"Roschard, J",78,2002,2003,4,2000,2003
n123,"Ratnieks, F. L. W.",81,2001,2002,2,2000,2003
n32,"Tonhasca, Athayde, Jr.",84,2000,2003,7,2000,2003
n101,"Goulson, D",99,2001,2002,5,2000,2003
n156,"Aranwela, N",107,2002,2003,2,2000,2003
n111,"Bacci, M",109,2001,2003,4,2000,2003
n91,"Letourneau, Dk",113,2001,2003,2,2000,2003
n92,"Dyer, La",113,2001,2003,2,2000,2003
n93,"Dodson, Cd",113,2001,2003,2,2000,2003
n152,"Nielsen, Mg",127,2002,2003,2,2000,2003
n245,"Sumner, S",137,2003,2003,2,2000,2003
n8,"Maile, R",138,2000,2003,3,2000,2003
n34,"Burd, M",150,2000,2003,4,2000,2003
n7,"Ortius-lechner, D",158,2000,2003,4,2000,2003
n90,"Hart, Ag",160,2001,2002,4,2000,2003
n98,"Van Borm, S",181,2001,2003,3,2000,2003
n21,"Adams, Rachelle M. M.",189,2000,2001,2,2000,2003
n2,"Kleineidam, Christoph Johannes",192,2000,2001,4,2000,2003
n151,"Poulsen, Michael",193,2002,2003,4,2000,2003
n28,"Hebling, Maria J. A.",195,2000,2003,9,2000,2003
n84,"Mcshea, Dw",196,2001,2001,2,2000,2003
n29,"Bueno, Oc",210,2000,2003,10,2000,2003
n85,"Anderson, C",229,2001,2002,3,2000,2003
n31,"Pagnocca, Fernando Carlos",237,2000,2003,11,2000,2003
n1,"Roces, Flavio",316,2000,2003,12,2000,2003
n102,"Hughes, William O. H.",366,2001,2003,8,2000,2003
n23,"Schultz, Ted R.",379,2000,2003,3,2000,2003
n22,"Mueller, Ulrich G.",489,2000,2003,6,2000,2003
n88,"Bot, Anm",537,2001,2003,10,2000,2003
n73,"Terborgh, J",714,2001,2001,2,2000,2003
n75,"Nunez, P",714,2001,2001,2,2000,2003
n10,"Rao, M",759,2000,2001,3,2000,2003
n83,"Currie, Cameron R",811,2001,2003,10,2000,2003
n6,"Boomsma, Jj",964,2000,2003,18,2000,2003
