id,name,cited,minYear,maxYear,numWorks,startYear,endYear
n11,"Thomsen, Lene",104,2004,2004,4,2004,2007
n69,"Andrade, App",112,2004,2007,11,2004,2007
n485,"Leal, Inara R.",113,2007,2007,3,2004,2007
n9,"Sumner, S",121,2004,2004,2,2004,2007
n121,"Franks, Nigel R.",122,2004,2007,7,2004,2007
n25,"Da Silva, Maria Fatima Das Gracas Fernandes",124,2004,2006,11,2004,2007
n259,"Baer, B.",126,2006,2006,2,2004,2007
n70,"Lopes, Juliane F. S.",131,2004,2007,14,2004,2007
n22,"Wcislo, William T.",135,2004,2006,2,2004,2007
n23,"Fernandez-marin, Hermogenes",135,2004,2006,2,2004,2007
n24,"Zimmerman, Jk",135,2004,2006,2,2004,2007
n55,"Bacci, M",140,2004,2006,10,2004,2007
n44,"Gadau, Jurgen",143,2004,2006,4,2004,2007
n262,"Mikheyev, Alexander S.",148,2006,2007,2,2004,2007
n6,"Helbing, D",153,2004,2006,2,2004,2007
n263,"Mueller, Ulrich G.",154,2006,2007,3,2004,2007
n486,"Wirth, Rainer",162,2007,2007,4,2004,2007
n67,"Forti, Luiz C.",166,2004,2007,22,2004,2007
n33,"Vieira, Paulo Cezar",172,2004,2007,16,2004,2007
n32,"Fernandes, Joao Batista",175,2004,2006,16,2004,2007
n18,"Currie, Cameron R",189,2004,2007,6,2004,2007
n34,"Nishinari, Katsuhiro",217,2004,2006,4,2004,2007
n36,"Schadschneider, Andreas",217,2004,2006,4,2004,2007
n37,"Chowdhury, Debashish",217,2004,2006,4,2004,2007
n29,"Hebling, Maria J. A.",220,2004,2006,15,2004,2007
n4,"Dussutour, A.",228,2004,2007,5,2004,2007
n5,"Fourcassie, V.",240,2004,2007,5,2004,2007
n3,"Deneubourg, Jl",248,2004,2007,5,2004,2007
n31,"Pagnocca, Fernando Carlos",250,2004,2006,18,2004,2007
n30,"Bueno, Oc",289,2004,2006,23,2004,2007
n41,"Poulsen, Michael",294,2004,2007,10,2004,2007
n2,"Hughes, William O. H.",491,2004,2007,11,2004,2007
n1,"Boomsma, Jj",1074,2004,2007,24,2004,2007
