source,target,weight,startYear,endYear
n4,n6,2,2004,2007
n1,n9,2,2004,2007
n22,n23,2,2004,2007
n22,n24,2,2004,2007
n23,n24,2,2004,2007
n34,n35,2,2004,2007
n35,n37,2,2004,2007
n35,n36,2,2004,2007
n43,n45,2,2004,2007
n44,n45,2,2004,2007
n43,n44,2,2004,2007
n29,n54,2,2004,2007
n30,n54,2,2004,2007
n31,n54,2,2004,2007
n54,n55,2,2004,2007
n62,n63,2,2004,2007
n65,n67,2,2004,2007
n65,n69,2,2004,2007
n65,n70,2,2004,2007
n68,n69,2,2004,2007
n67,n68,2,2004,2007
n13,n78,2,2004,2007
n33,n90,2,2004,2007
n32,n90,2,2004,2007
n96,n99,2,2004,2007
n98,n99,2,2004,2007
n96,n98,2,2004,2007
n101,n102,2,2004,2007
n29,n108,2,2004,2007
n121,n123,2,2004,2007
n69,n134,2,2004,2007
n70,n134,2,2004,2007
n92,n134,2,2004,2007
n135,n136,2,2004,2007
n135,n137,2,2004,2007
n136,n137,2,2004,2007
n70,n140,2,2004,2007
n92,n140,2,2004,2007
n99,n148,2,2004,2007
n67,n153,2,2004,2007
n30,n165,2,2004,2007
n33,n165,2,2004,2007
n25,n165,2,2004,2007
n32,n165,2,2004,2007
n33,n166,2,2004,2007
n55,n166,2,2004,2007
n29,n166,2,2004,2007
n32,n166,2,2004,2007
n31,n166,2,2004,2007
n30,n166,2,2004,2007
n109,n166,2,2004,2007
n106,n166,2,2004,2007
n55,n171,2,2004,2007
n29,n171,2,2004,2007
n31,n171,2,2004,2007
n30,n171,2,2004,2007
n25,n171,2,2004,2007
n33,n171,2,2004,2007
n32,n171,2,2004,2007
n106,n171,2,2004,2007
n109,n171,2,2004,2007
n104,n175,2,2004,2007
n104,n176,2,2004,2007
n175,n176,2,2004,2007
n67,n176,2,2004,2007
n67,n175,2,2004,2007
n29,n180,2,2004,2007
n30,n180,2,2004,2007
n31,n180,2,2004,2007
n32,n180,2,2004,2007
n33,n180,2,2004,2007
n25,n180,2,2004,2007
n192,n193,2,2004,2007
n204,n205,2,2004,2007
n212,n213,2,2004,2007
n216,n217,2,2004,2007
n216,n218,2,2004,2007
n217,n218,2,2004,2007
n224,n225,2,2004,2007
n121,n233,2,2004,2007
n236,n237,2,2004,2007
n55,n238,2,2004,2007
n30,n245,2,2004,2007
n31,n245,2,2004,2007
n63,n249,2,2004,2007
n152,n251,2,2004,2007
n250,n251,2,2004,2007
n152,n250,2,2004,2007
n63,n250,2,2004,2007
n55,n255,2,2004,2007
n1,n259,2,2004,2007
n262,n263,2,2004,2007
n300,n302,2,2004,2007
n301,n302,2,2004,2007
n300,n301,2,2004,2007
n30,n308,2,2004,2007
n31,n308,2,2004,2007
n255,n308,2,2004,2007
n78,n336,2,2004,2007
n365,n366,2,2004,2007
n365,n367,2,2004,2007
n366,n367,2,2004,2007
n92,n394,2,2004,2007
n402,n403,2,2004,2007
n194,n402,2,2004,2007
n194,n403,2,2004,2007
n186,n407,2,2004,2007
n186,n408,2,2004,2007
n42,n409,2,2004,2007
n42,n410,2,2004,2007
n409,n410,2,2004,2007
n67,n418,2,2004,2007
n140,n432,2,2004,2007
n70,n432,2,2004,2007
n186,n443,2,2004,2007
n67,n459,2,2004,2007
n92,n459,2,2004,2007
n432,n459,2,2004,2007
n92,n432,2,2004,2007
n115,n463,2,2004,2007
n115,n464,2,2004,2007
n115,n465,2,2004,2007
n463,n465,2,2004,2007
n464,n465,2,2004,2007
n112,n465,2,2004,2007
n114,n465,2,2004,2007
n114,n463,2,2004,2007
n114,n464,2,2004,2007
n112,n463,2,2004,2007
n112,n464,2,2004,2007
n463,n464,2,2004,2007
n485,n489,2,2004,2007
n486,n489,2,2004,2007
n1,n491,2,2004,2007
n1,n47,2,2004,2007
n41,n47,2,2004,2007
n213,n310,2,2004,2007
n74,n530,2,2004,2007
n1,n38,3,2004,2007
n1,n39,3,2004,2007
n1,n40,3,2004,2007
n38,n41,3,2004,2007
n39,n41,3,2004,2007
n40,n41,3,2004,2007
n11,n41,3,2004,2007
n11,n38,3,2004,2007
n11,n39,3,2004,2007
n11,n40,3,2004,2007
n2,n40,3,2004,2007
n38,n40,3,2004,2007
n39,n40,3,2004,2007
n2,n39,3,2004,2007
n38,n39,3,2004,2007
n2,n38,3,2004,2007
n46,n47,3,2004,2007
n79,n80,3,2004,2007
n67,n104,3,2004,2007
n32,n108,3,2004,2007
n33,n108,3,2004,2007
n108,n109,3,2004,2007
n31,n108,3,2004,2007
n30,n108,3,2004,2007
n106,n108,3,2004,2007
n112,n114,3,2004,2007
n112,n115,3,2004,2007
n114,n115,3,2004,2007
n67,n134,3,2004,2007
n67,n140,3,2004,2007
n63,n152,3,2004,2007
n55,n109,3,2004,2007
n18,n41,3,2004,2007
n72,n121,3,2004,2007
n31,n238,3,2004,2007
n32,n238,3,2004,2007
n33,n238,3,2004,2007
n25,n238,3,2004,2007
n29,n238,3,2004,2007
n30,n238,3,2004,2007
n63,n251,3,2004,2007
n29,n255,3,2004,2007
n304,n305,3,2004,2007
n67,n394,3,2004,2007
n67,n432,3,2004,2007
n436,n437,3,2004,2007
n485,n486,3,2004,2007
n3,n4,4,2004,2007
n3,n5,4,2004,2007
n4,n5,4,2004,2007
n1,n11,4,2004,2007
n2,n11,4,2004,2007
n34,n36,4,2004,2007
n34,n37,4,2004,2007
n36,n37,4,2004,2007
n2,n41,4,2004,2007
n55,n106,4,2004,2007
n25,n55,4,2004,2007
n25,n109,4,2004,2007
n25,n106,4,2004,2007
n30,n255,4,2004,2007
n31,n255,4,2004,2007
n33,n55,5,2004,2007
n32,n55,5,2004,2007
n106,n109,6,2004,2007
n29,n109,6,2004,2007
n29,n106,6,2004,2007
n32,n109,7,2004,2007
n33,n106,7,2004,2007
n33,n109,7,2004,2007
n30,n109,7,2004,2007
n31,n109,7,2004,2007
n31,n106,7,2004,2007
n69,n92,7,2004,2007
n25,n29,8,2004,2007
n25,n31,8,2004,2007
n1,n41,8,2004,2007
n69,n70,8,2004,2007
n32,n106,8,2004,2007
n29,n55,9,2004,2007
n30,n106,9,2004,2007
n1,n2,10,2004,2007
n25,n30,10,2004,2007
n29,n33,10,2004,2007
n29,n32,10,2004,2007
n30,n55,10,2004,2007
n31,n55,10,2004,2007
n70,n92,10,2004,2007
n25,n32,11,2004,2007
n25,n33,11,2004,2007
n31,n33,11,2004,2007
n31,n32,11,2004,2007
n67,n69,11,2004,2007
n67,n92,11,2004,2007
n30,n33,13,2004,2007
n67,n70,13,2004,2007
n30,n32,14,2004,2007
n32,n33,15,2004,2007
n29,n31,15,2004,2007
n29,n30,15,2004,2007
n30,n31,18,2004,2007
