source,target,weight,startYear,endYear
n6,n9,2,2000,2003
n7,n9,2,2000,2003
n8,n9,2,2000,2003
n21,n23,2,2000,2003
n21,n22,2,2000,2003
n27,n28,2,2000,2003
n27,n29,2,2000,2003
n27,n30,2,2000,2003
n27,n31,2,2000,2003
n30,n31,2,2000,2003
n28,n30,2,2000,2003
n29,n30,2,2000,2003
n57,n58,2,2000,2003
n57,n59,2,2000,2003
n58,n59,2,2000,2003
n10,n73,2,2000,2003
n10,n75,2,2000,2003
n73,n75,2,2000,2003
n23,n83,2,2000,2003
n84,n85,2,2000,2003
n88,n90,2,2000,2003
n91,n92,2,2000,2003
n91,n93,2,2000,2003
n92,n93,2,2000,2003
n6,n99,2,2000,2003
n6,n100,2,2000,2003
n98,n100,2,2000,2003
n99,n100,2,2000,2003
n98,n99,2,2000,2003
n101,n122,2,2000,2003
n102,n122,2,2000,2003
n47,n122,2,2000,2003
n90,n123,2,2000,2003
n61,n144,2,2000,2003
n144,n145,2,2000,2003
n61,n145,2,2000,2003
n28,n147,2,2000,2003
n29,n147,2,2000,2003
n31,n147,2,2000,2003
n127,n147,2,2000,2003
n132,n147,2,2000,2003
n126,n147,2,2000,2003
n130,n147,2,2000,2003
n6,n152,2,2000,2003
n151,n152,2,2000,2003
n88,n152,2,2000,2003
n34,n156,2,2000,2003
n83,n151,2,2000,2003
n201,n202,2,2000,2003
n31,n201,2,2000,2003
n29,n201,2,2000,2003
n29,n202,2,2000,2003
n31,n202,2,2000,2003
n203,n208,2,2000,2003
n204,n208,2,2000,2003
n205,n208,2,2000,2003
n231,n232,2,2000,2003
n6,n245,2,2000,2003
n102,n245,2,2000,2003
n247,n259,2,2000,2003
n248,n259,2,2000,2003
n263,n267,2,2000,2003
n205,n267,2,2000,2003
n262,n267,2,2000,2003
n203,n267,2,2000,2003
n285,n286,2,2000,2003
n285,n287,2,2000,2003
n285,n288,2,2000,2003
n143,n285,2,2000,2003
n143,n286,2,2000,2003
n143,n287,2,2000,2003
n143,n288,2,2000,2003
n286,n288,2,2000,2003
n287,n288,2,2000,2003
n286,n287,2,2000,2003
n1,n2,3,2000,2003
n6,n8,3,2000,2003
n7,n8,3,2000,2003
n22,n23,3,2000,2003
n32,n33,3,2000,2003
n22,n83,3,2000,2003
n6,n98,3,2000,2003
n47,n101,3,2000,2003
n47,n102,3,2000,2003
n29,n126,3,2000,2003
n28,n126,3,2000,2003
n29,n132,3,2000,2003
n28,n132,3,2000,2003
n28,n127,3,2000,2003
n28,n130,3,2000,2003
n29,n127,3,2000,2003
n29,n130,3,2000,2003
n6,n102,3,2000,2003
n1,n175,3,2000,2003
n247,n248,3,2000,2003
n204,n262,3,2000,2003
n204,n263,3,2000,2003
n6,n7,4,2000,2003
n6,n83,4,2000,2003
n83,n88,4,2000,2003
n28,n111,4,2000,2003
n29,n111,4,2000,2003
n31,n111,4,2000,2003
n126,n127,4,2000,2003
n31,n126,4,2000,2003
n126,n130,4,2000,2003
n126,n132,4,2000,2003
n127,n132,4,2000,2003
n31,n132,4,2000,2003
n130,n132,4,2000,2003
n127,n130,4,2000,2003
n31,n130,4,2000,2003
n31,n127,4,2000,2003
n6,n151,4,2000,2003
n88,n151,4,2000,2003
n203,n204,4,2000,2003
n203,n263,4,2000,2003
n203,n262,4,2000,2003
n32,n36,5,2000,2003
n101,n102,5,2000,2003
n203,n205,5,2000,2003
n204,n205,5,2000,2003
n262,n263,5,2000,2003
n205,n263,5,2000,2003
n205,n262,5,2000,2003
n28,n31,9,2000,2003
n28,n29,9,2000,2003
n6,n88,9,2000,2003
n29,n31,10,2000,2003
